Name,Team,OVR,Position2,Wins,Year
Rashad Jennings,Raiders,73,HB,4,2014
Rashad Jennings,Jaguars,74,HB,2,2013
Rashad Johnson,Titans,82,DB,9,2017
Rashad Johnson,Cardinals,77,DB,13,2016
Rashad Johnson,Cardinals,80,DB,11,2015
Rashad Johnson,Cardinals,76,DB,10,2014
Rashad Johnson,Cardinals,66,DB,5,2013
Rashad Lawrence,Jaguars,59,WR,3,2017
Rashad Ross,Redskins,63,WR,8.5,2017
Rashad Ross,Bills,66,WR,NA,2018
Rashard Higgins,Browns,63,WR,1,2017
Rashard Higgins,Browns,65,WR,NA,2018
Rashard Mendenhall,Cardinals,80,HB,10,2014
Rashard Mendenhall,Steelers,86,HB,8,2013
Rashard Robinson,49ers,64,DB,2,2017
Rashard Robinson,49ers,76,DB,NA,2018
RaShaun Allen,Saints,62,WR,7,2017
RaShaun Allen,Seahawks,63,WR,10,2016
RaShaun Allen,Seahawks,63,WR,12,2015
Rashawn Scott,Dolphins,63,WR,NA,2018
Rashean Mathis,Lions,84,DB,7,2016
Rashean Mathis,Lions,85,DB,11,2015
Rashean Mathis,Jaguars,87,DB,2,2013
Ra'Shede Hageman,Falcons,74,DL,11,2017
Ra'Shede Hageman,Falcons,73,DL,8,2016
Ra'Shede Hageman,Falcons,73,DL,6,2015
Ra'Shede Hageman,Falcons,75,DL,NA,2018
Rashod Hill,Vikings,64,OL,NA,2018
Ra'Shon Harris,Texans,65,DL,2,2014
Ra'Shon Harris,Texans,58,DL,12,2013
Ras-I Dowling,Raiders,71,DB,7,2016
Ras-I Dowling,Raiders,69,DB,3,2015
Ras-I Dowling,Patriots,74,DB,12,2014
Ras-I Dowling,Patriots,74,DB,12,2013
Rasul Douglas,Eagles,68,DB,NA,2018
Ray Agnew,Cowboys,65,FALSE,4,2016
Ray Dominguez,Cowboys,64,OL,8,2014
Ray Dominguez,Packers,57,OL,11,2013
Ray Edwards,Falcons,83,DL,13,2013
Ray Feinga,Dolphins,67,OL,7,2013
Ray Graham,Texans,68,HB,2,2014
Ray Lewis,Ravens,94,LB,10,2013
Ray McDonald,49ers,89,DL,12,2014
Ray McDonald,49ers,92,DL,11.5,2013
Ray Ray Armstrong,Raiders,67,LB,7,2016
Ray Ray Armstrong,Raiders,67,LB,3,2015
Ray Rice,Ravens,94,HB,8,2014
Ray Rice,Ravens,95,HB,10,2013
Ray Ventrone,Browns,63,DB,5,2013
Ray Willis,Jets,74,OL,6,2013
Raymond Radway,Rams,62,WR,7,2014
Raymond Radway,Cowboys,58,WR,8,2013
Ray-Ray Armstrong,49ers,71,LB,2,2017
Ray-Ray Armstrong,49ers,73,LB,NA,2018
Rayshawn Jenkins,Chargers,70,DB,NA,2018
Red Bryant,Cardinals,73,DL,7.5,2017
Red Bryant,Jaguars,79,DL,3,2015
Red Bryant,Seahawks,80,DL,13,2014
Red Bryant,Seahawks,84,DL,11,2013
Reed Doughty,Redskins,74,DB,3,2014
Reed Doughty,Redskins,72,DB,10,2013
Rees Odhiambo,Seahawks,68,OL,10.5,2017
Rees Odhiambo,Seahawks,66,OL,NA,2018
Reese Dismukes,Panthers,67,OL,6,2017
Reese Dismukes,Steelers,66,OL,10,2016
Reggie Bush,Bills,74,HB,7,2017
Reggie Bush,49ers,80,HB,5,2016
Reggie Bush,Lions,83,HB,11,2015
Reggie Bush,Lions,83,HB,7,2014
Reggie Bush,Dolphins,84,HB,7,2013
Reggie Diggs,Redskins,60,WR,8.5,2017
Reggie Dunn,Cowboys,56,WR,4,2016
Reggie Gilbert,Packers,57,LB,10,2017
Reggie Gilbert,Packers,61,DL,NA,2018
Reggie Hodges,Browns,66,FALSE,5,2013
Reggie Jones,Vikings,63,DB,10,2013
Reggie Nelson,Raiders,87,DB,12,2017
Reggie Nelson,Bengals,86,DB,12,2016
Reggie Nelson,Bengals,88,DB,10.5,2015
Reggie Nelson,Bengals,88,DB,11,2014
Reggie Nelson,Bengals,79,DB,10,2013
Reggie Nelson,Raiders,79,DB,NA,2018
Reggie Ragland,Bills,74,LB,7,2017
Reggie Ragland,Bills,73,LB,NA,2018
Reggie Smith,Raiders,74,DB,4,2014
Reggie Smith,Panthers,72,DB,7,2013
Reggie Stephens,Ravens,65,OL,8,2014
Reggie Stephens,Bengals,66,OL,10,2013
Reggie Walker,Broncos,66,LB,12,2016
Reggie Walker,Chargers,66,LB,9,2015
Reggie Walker,Cardinals,70,LB,10,2014
Reggie Walker,Cardinals,64,LB,5,2013
Reggie Wayne,Colts,81,WR,11,2015
Reggie Wayne,Colts,91,WR,11,2014
Reggie Wayne,Colts,88,WR,11,2013
Reid Fragel,Chiefs,69,OL,12,2017
Reid Fragel,Buccaneers,71,OL,6,2016
Reid Fragel,Bengals,69,OL,11,2014
Remi Ayodele,Saints,71,DL,7,2013
Rennie Curran,Buccaneers,66,LB,7,2013
Rennie Moore Jr.,Texans,59,DL,12,2013
Reshad Jones,Dolphins,93,DB,10,2017
Reshad Jones,Dolphins,92,DB,6,2016
Reshad Jones,Dolphins,91,DB,8,2015
Reshad Jones,Dolphins,92,DB,8,2014
Reshad Jones,Dolphins,74,DB,7,2013
Reshad Jones,Dolphins,91,DB,NA,2018
Reshard Cliett,Texans,54,LB,9,2017
Reshard Cliett,Texans,54,LB,9,2016
Reshard Cliett,Chiefs,55,LB,NA,2018
Reuben Foster,49ers,76,LB,NA,2018
Rex Burkhead,Bengals,71,HB,6.5,2017
Rex Burkhead,Bengals,72,HB,12,2016
Rex Burkhead,Bengals,70,HB,10.5,2015
Rex Burkhead,Bengals,68,HB,11,2014
Rex Burkhead,Patriots,76,HB,NA,2018
Rex Grossman,Redskins,72,QB,3,2014
Rex Grossman,Redskins,75,QB,10,2013
Rex Hadnot,Chargers,74,OL,7,2013
Rey Maualuga,Bengals,84,LB,6.5,2017
Rey Maualuga,Bengals,83,LB,12,2016
Rey Maualuga,Bengals,81,LB,10.5,2015
Rey Maualuga,Bengals,76,LB,11,2014
Rey Maualuga,Bengals,83,LB,10,2013
Rhett Ellison,Vikings,72,WR,8,2017
Rhett Ellison,Vikings,74,WR,11,2016
Rhett Ellison,Vikings,72,WR,7,2015
Rhett Ellison,Vikings,80,WR,5.5,2014
Rhett Ellison,Vikings,64,FALSE,10,2013
Rhett Ellison,Giants,79,FALSE,NA,2018
Rian Lindell,Bills,84,FALSE,6,2014
Rian Lindell,Bills,85,FALSE,6,2013
Ricardo Allen,Falcons,75,DB,11,2017
Ricardo Allen,Falcons,68,DB,8,2016
Ricardo Allen,Falcons,68,DB,6,2015
Ricardo Allen,Falcons,81,DB,NA,2018
Ricardo Lockette,Seahawks,74,WR,10,2016
Ricardo Lockette,Seahawks,73,WR,12,2015
Ricardo Lockette,49ers,65,WR,12,2014
Ricardo Lockette,Seahawks,67,WR,11,2013
Ricardo Louis,Browns,64,WR,1,2017
Ricardo Louis,Browns,66,WR,NA,2018
Ricardo Mathews,Steelers,69,DL,11,2017
Ricardo Mathews,Chargers,75,DL,4,2016
Ricardo Mathews,Chargers,74,DL,9,2015
Ricardo Mathews,Colts,73,DL,11,2014
Ricardo Mathews,Colts,67,DL,11,2013
Ricardo Silva,Lions,66,DB,7,2014
Ricardo Silva,Lions,59,DB,4,2013
Rich Ohrnberger,Chargers,71,OL,9,2015
Rich Ohrnberger,Chargers,70,OL,9,2014
Richard Ash,Cowboys,63,DL,NA,2018
Richard Bartel,Cardinals,66,QB,5,2013
Richard Crawford,Chargers,68,DB,4,2016
Richard Crawford,Redskins,69,DB,3,2014
Richard Crawford,Redskins,61,DB,10,2013
Richard Goodman,Chargers,66,WR,9,2014
Richard Goodman,Chargers,66,WR,7,2013
Richard Gordon,Chiefs,71,WR,11,2016
Richard Gordon,Chiefs,71,WR,9,2015
Richard Gordon,Raiders,73,WR,4,2014
Richard Gordon,Raiders,65,WR,4,2013
Richard Marshall,Dolphins,79,DB,8,2014
Richard Marshall,Dolphins,81,DB,7,2013
Richard Murphy,Jaguars,56,HB,2,2013
Richard Quinn,Bengals,70,WR,11,2014
Richard Quinn,Redskins,67,WR,10,2013
Richard Rodgers,Packers,79,WR,10,2017
Richard Rodgers,Packers,74,WR,10,2016
Richard Rodgers,Packers,72,WR,12,2015
Richard Rodgers,Packers,78,WR,NA,2018
Richard Seymour,Raiders,92,DL,4,2013
Richard Sherman,Seahawks,92,DB,10.5,2017
Richard Sherman,Seahawks,97,DB,10,2016
Richard Sherman,Seahawks,99,DB,12,2015
Richard Sherman,Seahawks,96,DB,13,2014
Richard Sherman,Seahawks,83,DB,11,2013
Richard Sherman,Seahawks,90,DB,NA,2018
Richie Brockel,Panthers,75,FALSE,15,2016
Richie Brockel,Panthers,74,FALSE,7.5,2015
Richie Brockel,Panthers,69,FALSE,12,2014
Richie Brockel,Panthers,59,FALSE,7,2013
Richie Incognito,Bills,90,OL,7,2017
Richie Incognito,Bills,79,OL,8,2016
Richie Incognito,Dolphins,83,OL,8,2014
Richie Incognito,Dolphins,78,OL,7,2013
Richie Incognito,Bills,88,OL,NA,2018
Rick Lovato,Packers,42,WR,10,2017
Rick Lovato,Eagles,42,WR,NA,2018
Rick Wagner,Ravens,76,OL,8,2017
Rick Wagner,Ravens,86,OL,5,2016
Rick Wagner,Ravens,82,OL,10,2015
Rick Wagner,Lions,83,OL,NA,2018
Ricky Collins,Packers,61,WR,10,2016
Ricky Elmore,Redskins,62,LB,3,2014
Ricky Elmore,Chargers,58,LB,7,2013
Ricky Havili-Heimuli,Falcons,66,DL,8,2016
Ricky Henry,Chiefs,66,OL,9,2015
Ricky Henry,Saints,66,OL,11,2014
Ricky Henry,Bears,59,OL,10,2013
Ricky Jean Francois,Redskins,74,DL,8.5,2017
Ricky Jean Francois,Redskins,77,DL,9,2016
Ricky Jean Francois,Colts,79,DL,11,2015
Ricky Jean Francois,Colts,75,DL,11,2014
Ricky Jean Francois,49ers,74,DL,11.5,2013
Ricky Jean Francois,Packers,73,DL,NA,2018
Ricky Lumpkin,Colts,66,DL,8,2017
Ricky Lumpkin,Raiders,69,DL,7,2016
Ricky Lumpkin,Raiders,68,DL,3,2015
Ricky Lumpkin,Cardinals,60,DL,10,2014
Ricky Lumpkin,Cardinals,57,DL,5,2013
Ricky Ortiz,Ravens,69,FALSE,NA,2018
Ricky Sapp,Redskins,65,LB,4,2015
Ricky Sapp,Jets,65,LB,8,2014
Ricky Sapp,Jets,55,LB,6,2013
Ricky Seals-Jones,Cardinals,64,WR,NA,2018
Ricky Stanzi,Giants,64,QB,6,2016
Ricky Stanzi,Texans,65,QB,9,2015
Ricky Stanzi,Chiefs,65,QB,11,2014
Ricky Stanzi,Chiefs,65,QB,2,2013
Ricky Wagner,Ravens,67,OL,8,2014
Rico Gathers,Cowboys,60,WR,13,2017
Rico Gathers,Cowboys,67,WR,NA,2018
Riley Bullough,Buccaneers,61,LB,NA,2018
Riley Cooper,Eagles,76,WR,7,2016
Riley Cooper,Eagles,76,WR,10,2015
Riley Cooper,Eagles,70,WR,10,2014
Riley Cooper,Eagles,69,WR,4,2013
Riley Dixon,Broncos,72,FALSE,9,2017
Riley Dixon,Broncos,74,FALSE,NA,2018
Riley McCarron,Texans,64,WR,NA,2018
Riley Reiff,Lions,83,OL,9,2017
Riley Reiff,Lions,82,OL,7,2016
Riley Reiff,Lions,82,OL,11,2015
Riley Reiff,Lions,77,OL,7,2014
Riley Reiff,Lions,77,OL,4,2013
Riley Reiff,Vikings,71,OL,NA,2018
Rishard Matthews,Titans,79,WR,9,2017
Rishard Matthews,Dolphins,72,WR,6,2016
Rishard Matthews,Dolphins,72,WR,8,2015
Rishard Matthews,Dolphins,65,WR,8,2014
Rishard Matthews,Dolphins,60,WR,7,2013
Rishard Matthews,Titans,82,WR,NA,2018
Rishaw Johnson,Redskins,69,OL,4,2015
Rishaw Johnson,Seahawks,66,OL,13,2014
Rishaw Johnson,Seahawks,59,OL,11,2013
Rob Bironas,Titans,88,FALSE,7,2014
Rob Bironas,Titans,96,FALSE,6,2013
Rob Blanchflower,Steelers,70,WR,10,2016
Rob Blanchflower,Steelers,68,WR,11,2015
Rob Bruggeman,Chiefs,65,OL,2,2013
Rob Gronkowski,Patriots,99,WR,14,2017
Rob Gronkowski,Patriots,99,WR,12,2016
Rob Gronkowski,Patriots,98,WR,12,2015
Rob Gronkowski,Patriots,98,WR,12,2014
Rob Gronkowski,Patriots,97,WR,12,2013
Rob Gronkowski,Patriots,98,WR,NA,2018
Rob Havenstein,Rams,72,OL,4,2017
Rob Havenstein,Rams,70,OL,7,2016
Rob Havenstein,Rams,77,OL,NA,2018
Rob Housler,Bears,68,WR,3,2017
Rob Housler,Browns,71,WR,3,2016
Rob Housler,Cardinals,70,WR,11,2015
Rob Housler,Cardinals,74,WR,10,2014
Rob Housler,Cardinals,66,WR,5,2013
Rob Jackson,Redskins,77,LB,3,2014
Rob Jackson,Redskins,65,LB,10,2013
Rob Ninkovich,Patriots,82,LB,14,2017
Rob Ninkovich,Patriots,87,DL,12,2016
Rob Ninkovich,Patriots,89,DL,12,2015
Rob Ninkovich,Patriots,85,DL,12,2014
Rob Ninkovich,Patriots,86,LB,12,2013
Rob Ninkovich,Patriots,78,LB,NA,2018
Rob Sims,Lions,84,OL,11,2015
Rob Sims,Lions,89,OL,7,2014
Rob Sims,Lions,88,OL,4,2013
Robbie Gould,Bears,79,FALSE,3,2017
Robbie Gould,Bears,88,FALSE,6,2016
Robbie Gould,Bears,92,FALSE,5,2015
Robbie Gould,Bears,93,FALSE,8,2014
Robbie Gould,Bears,95,FALSE,10,2013
Robbie Gould,49ers,76,FALSE,NA,2018
Robby Anderson,Jets,63,WR,5,2017
Robby Anderson,Jets,74,WR,NA,2018
Robenson Therezie,Falcons,68,DB,11,2017
Robenson Therezie,Saints,67,DB,NA,2018
Robert Alford,Falcons,77,DB,11,2017
Robert Alford,Falcons,75,DB,8,2016
Robert Alford,Falcons,76,DB,6,2015
Robert Alford,Falcons,72,DB,4,2014
Robert Alford,Falcons,80,DB,NA,2018
Robert Ayers,Giants,82,DL,6,2016
Robert Ayers,Giants,82,DL,6,2015
Robert Ayers,Broncos,81,DL,13,2014
Robert Ayers,Broncos,78,DL,13,2013
Robert Ayers Jr,Buccaneers,80,DL,NA,2018
Robert Ayers Jr.,Buccaneers,84,DL,9,2017
Robert Blanton,Bills,76,DB,7,2017
Robert Blanton,Vikings,86,DB,11,2016
Robert Blanton,Vikings,84,DB,7,2015
Robert Blanton,Vikings,71,DB,5.5,2014
Robert Blanton,Vikings,72,DB,10,2013
Robert Blanton,Cowboys,72,DB,NA,2018
Robert Callaway,Cowboys,52,DL,8,2013
Robert Davis,Redskins,65,WR,NA,2018
Robert Francois,Packers,65,LB,8.5,2014
Robert Francois,Packers,63,LB,11,2013
Robert Gallery,Patriots,77,OL,12,2013
Robert Geathers,Bengals,66,DL,10.5,2015
Robert Geathers,Bengals,76,DL,11,2014
Robert Geathers,Bengals,79,DL,10,2013
Robert Golden,Steelers,74,DB,11,2017
Robert Golden,Steelers,68,DB,10,2016
Robert Golden,Steelers,65,DB,11,2015
Robert Golden,Steelers,65,DB,8,2014
Robert Golden,Steelers,70,DB,NA,2018
Robert Griffin,Colts,61,OL,11,2014
Robert Griffin,Jets,59,OL,6,2013
Robert Griffin III,Browns,73,QB,1,2017
Robert Griffin III,Redskins,78,QB,9,2016
Robert Griffin III,Redskins,78,QB,4,2015
Robert Griffin III,Redskins,89,QB,3,2014
Robert Griffin III,Redskins,83,QB,10,2013
Robert Herron,Buccaneers,67,WR,6,2016
Robert Herron,Buccaneers,67,WR,2,2015
Robert Hughes,Cardinals,64,HB,13,2016
Robert Hughes,Cardinals,72,FALSE,11,2015
Robert James,Falcons,67,LB,4,2014
Robert James,Falcons,66,LB,13,2013
Robert Johnson,Titans,69,DB,7,2014
Robert Johnson,Titans,66,DB,6,2013
Robert Kelley,Redskins,78,HB,NA,2018
Robert Leff,Packers,63,OL,NA,2018
Robert Lester,Panthers,75,DB,15,2016
Robert Lester,Panthers,76,DB,7.5,2015
Robert Malone,Giants,66,FALSE,6,2016
Robert Malone,Jets,71,FALSE,8,2014
Robert Mathis,Colts,83,LB,8,2017
Robert Mathis,Colts,87,LB,8,2016
Robert Mathis,Colts,93,LB,11,2015
Robert Mathis,Colts,86,LB,11,2014
Robert Mathis,Colts,88,LB,11,2013
Robert McClain,Panthers,71,DB,6,2017
Robert McClain,Patriots,71,DB,12,2016
Robert McClain,Falcons,75,DB,6,2015
Robert McClain,Falcons,73,DB,4,2014
Robert McClain,Falcons,59,DB,13,2013
Robert McClain,Buccaneers,69,DB,NA,2018
Robert Meachem,Saints,74,WR,7,2015
Robert Meachem,Chargers,73,WR,9,2014
Robert Meachem,Chargers,80,WR,7,2013
Robert Myers,Ravens,60,OL,5,2016
Robert Myers Jr,Seahawks,61,OL,NA,2018
Robert Myers Jr.,Broncos,59,OL,9,2017
Robert Nelson,Texans,67,DB,9,2017
Robert Nelson,Browns,64,DB,3,2016
Robert Nelson,Browns,64,DB,7,2015
Robert Nelson Jr,Texans,69,DB,NA,2018
Robert Nkemdiche,Cardinals,75,DL,7.5,2017
Robert Nkemdiche,Cardinals,76,DL,NA,2018
Robert Quinn,Rams,89,DL,4,2017
Robert Quinn,Rams,93,DL,7,2016
Robert Quinn,Rams,96,DL,6,2015
Robert Quinn,Rams,78,DL,7,2014
Robert Quinn,Rams,78,DL,7.5,2013
Robert Quinn,Rams,81,LB,NA,2018
Robert Sands,Bengals,64,DB,10,2013
Robert Steeples,Cowboys,63,DB,4,2016
Robert Steeples,Cowboys,65,DB,12,2015
Robert Steeples,Rams,65,DB,7,2014
Robert Thomas,Panthers,51,DL,6,2017
Robert Thomas,Redskins,62,DL,9,2016
Robert Thomas,Giants,63,DL,NA,2018
Robert Turbin,Colts,75,HB,8,2017
Robert Turbin,Seahawks,78,HB,10,2016
Robert Turbin,Seahawks,79,HB,12,2015
Robert Turbin,Seahawks,76,HB,13,2014
Robert Turbin,Seahawks,67,HB,11,2013
Robert Turbin,Colts,76,HB,NA,2018
Robert Turner,Titans,73,OL,7,2014
Robert Turner,Rams,69,OL,7.5,2013
Robert Woods,Bills,73,WR,7,2017
Robert Woods,Bills,80,WR,8,2016
Robert Woods,Bills,80,WR,9,2015
Robert Woods,Bills,70,WR,6,2014
Robert Woods,Rams,78,WR,NA,2018
Roberto Aguayo,Buccaneers,79,FALSE,9,2017
Roberto Aguayo,Buccaneers,73,FALSE,NA,2018
Roberto Garza,Bears,79,OL,5,2015
Roberto Garza,Bears,76,OL,8,2014
Roberto Garza,Bears,77,OL,10,2013
Roberto Wallace,Titans,66,WR,7,2014
Robertson Daniel,Ravens,61,DB,NA,2018
Roc Carmichael,Texans,65,DB,2,2014
Roc Carmichael,Texans,64,DB,12,2013
Rock Cartwright,49ers,67,HB,11.5,2013
Rocky Bernard,Giants,74,DL,9,2013
Rocky McIntosh,Rams,73,LB,7.5,2013
Rod Issac,Jaguars,62,DB,2,2013
Rod Johnson,Browns,70,OL,NA,2018
Rod Smith,Cowboys,66,HB,13,2017
Rod Smith,Cowboys,63,HB,NA,2018
Rod Streater,Chiefs,72,WR,12,2017
Rod Streater,Raiders,78,WR,7,2016
Rod Streater,Raiders,80,WR,3,2015
Rod Streater,Raiders,73,WR,4,2014
Rod Streater,Raiders,66,WR,4,2013
Rod Streater,Bills,71,WR,NA,2018
Rod Sweeting,Bills,67,DB,8,2016
Rod Windsor,Browns,61,WR,5,2013
Roddrick Muckelroy,Redskins,64,LB,3,2014
Roddrick Muckelroy,Bengals,62,LB,10,2013
Roddy White,Falcons,84,WR,8,2016
Roddy White,Falcons,86,WR,6,2015
Roddy White,Falcons,93,WR,4,2014
Roddy White,Falcons,94,WR,13,2013
Rodger Saffold,Rams,83,OL,7,2016
Rodger Saffold,Rams,87,OL,6,2015
Rodger Saffold,Rams,84,OL,7,2014
Rodger Saffold,Rams,75,OL,7.5,2013
Rodger Saffold III,Rams,73,OL,4,2017
Rodger Saffold III,Rams,79,OL,NA,2018
Rodney Adams,Vikings,68,WR,NA,2018
Rodney Austin,Lions,69,OL,11,2015
Rodney Austin,Lions,69,OL,7,2014
Rodney Gunter,Cardinals,66,DL,7.5,2017
Rodney Gunter,Cardinals,59,DL,13,2016
Rodney Gunter,Cardinals,65,DL,NA,2018
Rodney Hudson,Raiders,85,OL,12,2017
Rodney Hudson,Raiders,89,OL,7,2016
Rodney Hudson,Chiefs,89,OL,9,2015
Rodney Hudson,Chiefs,76,OL,11,2014
Rodney Hudson,Chiefs,74,OL,2,2013
Rodney Hudson,Raiders,90,OL,NA,2018
Rodney McLeod,Rams,79,DB,7,2016
Rodney McLeod,Rams,78,DB,6,2015
Rodney McLeod,Rams,70,DB,7,2014
Rodney McLeod Jr,Eagles,80,DB,NA,2018
Rodney McLeod Jr.,Eagles,81,DB,7,2017
Rodney Smith,Cowboys,59,WR,13,2017
Rodney Smith,Browns,62,WR,3,2016
Rodney Smith,Browns,61,WR,7,2015
Roger Allen,Panthers,63,OL,7,2013
Roger Lewis,Giants,62,WR,11,2017
Roger Lewis Jr,Giants,67,WR,NA,2018
Rokevious Watkins,Rams,67,OL,7,2014
Rokevious Watkins,Rams,64,OL,7.5,2013
Rolando McClain,Cowboys,81,LB,13,2017
Rolando McClain,Cowboys,86,LB,4,2016
Rolando McClain,Cowboys,84,LB,12,2015
Rolando McClain,Raiders,85,LB,4,2013
Roman Harper,Saints,74,DB,7,2017
Roman Harper,Panthers,79,DB,15,2016
Roman Harper,Panthers,81,DB,7.5,2015
Roman Harper,Saints,76,DB,11,2014
Roman Harper,Saints,84,DB,7,2013
Romeo Okwara,Giants,58,LB,11,2017
Romeo Okwara,Giants,70,DL,NA,2018
Ron Bartell,Lions,75,DB,7,2014
Ron Bartell,Raiders,81,DB,4,2013
Ron Brace,Redskins,70,DL,3,2014
Ron Brace,Patriots,72,DL,12,2013
Ron Brooks,Eagles,68,DB,7,2017
Ron Brooks,Bills,69,DB,8,2016
Ron Brooks,Bills,70,DB,9,2015
Ron Brooks,Bills,68,DB,6,2014
Ron Brooks,Bills,67,DB,6,2013
Ron Brooks,Eagles,70,DB,NA,2018
Ron Edwards,Panthers,76,DL,7,2013
Ron Parker,Chiefs,81,DB,12,2017
Ron Parker,Chiefs,82,DB,11,2016
Ron Parker,Chiefs,83,DB,9,2015
Ron Parker,Seahawks,62,DB,13,2014
Ron Parker,Seahawks,59,DB,11,2013
Ron Parker,Chiefs,85,DB,NA,2018
Ron Thompson,Colts,58,LB,8,2017
Ronald Blair III,49ers,62,DL,2,2017
Ronald Blair III,49ers,67,DL,NA,2018
Ronald Darby,Bills,83,DB,7,2017
Ronald Darby,Bills,70,DB,8,2016
Ronald Darby,Bills,79,DB,NA,2018
Ronald Johnson,Eagles,61,WR,4,2013
Ronald Leary,Cowboys,75,OL,13,2017
Ronald Leary,Cowboys,83,OL,4,2016
Ronald Leary,Cowboys,78,OL,12,2015
Ronald Leary,Cowboys,62,OL,8,2014
Ronald Leary,Cowboys,62,OL,8,2013
Ronald Leary,Broncos,83,OL,NA,2018
Ronald Martin,Jets,64,DB,5,2017
Ronald Martin Jr,Jets,63,DB,NA,2018
Ronald Patrick,Redskins,62,OL,NA,2018
Ronald Powell,Saints,64,LB,7,2016
Ronald Powell,Saints,62,LB,7,2015
Ronald Powell,Seahawks,62,LB,NA,2018
Ronald Talley,Cardinals,63,DL,10,2014
Ronald Talley,Cardinals,63,DL,5,2013
Ronde Barber,Buccaneers,86,DB,7,2013
Ronnell Lewis,Lions,69,DL,7,2014
Ronnell Lewis,Lions,69,DL,4,2013
Ronnie Brown,Chargers,74,HB,9,2015
Ronnie Brown,Chargers,78,HB,9,2014
Ronnie Brown,Chargers,77,HB,7,2013
Ronnie Hillman,Broncos,76,HB,9,2017
Ronnie Hillman,Broncos,74,HB,12,2016
Ronnie Hillman,Broncos,76,HB,12,2015
Ronnie Hillman,Broncos,72,HB,13,2014
Ronnie Hillman,Broncos,68,HB,13,2013
Ronnie Stanley,Ravens,79,OL,8,2017
Ronnie Stanley,Ravens,80,OL,NA,2018
Ronnie Wingo,Falcons,63,HB,6,2015
Rontez Miles,Jets,73,DB,5,2017
Rontez Miles,Jets,71,DB,10,2016
Rontez Miles,Jets,71,DB,4,2015
Rontez Miles,Jets,72,DB,NA,2018
Roosevelt Nix,Steelers,80,FALSE,11,2017
Roosevelt Nix,Steelers,80,FALSE,NA,2018
Ropati Pitoitua,Titans,67,DL,9,2017
Ropati Pitoitua,Titans,77,DL,3,2016
Ropati Pitoitua,Titans,78,DL,2,2015
Ropati Pitoitua,Titans,76,DL,7,2014
Ropati Pitoitua,Chiefs,70,DL,2,2013
Roscoe Parrish,Chargers,71,WR,7,2013
Ross Cockrell,Steelers,73,DB,11,2017
Ross Cockrell,Bills,73,DB,8,2016
Ross Cockrell,Bills,70,DB,9,2015
Ross Cockrell,Steelers,80,DB,NA,2018
Ross Scheuerman,Steelers,65,HB,10,2016
Ross Travis,Chiefs,58,WR,NA,2018
Ross Ventrone,Steelers,64,DB,11,2017
Ross Ventrone,Steelers,66,DB,10,2016
Ross Ventrone,Steelers,66,DB,11,2015
Ross Ventrone,Steelers,64,DB,8,2014
Ross Ventrone,Patriots,60,DB,12,2013
Ross Weaver,Lions,61,DB,7,2014
Ross Weaver,Lions,59,DB,4,2013
Roy Helu Jr.,Raiders,77,HB,7,2016
Roy Helu Jr.,Redskins,77,HB,4,2015
Roy Helu Jr.,Redskins,74,HB,3,2014
Roy Helu Jr.,Redskins,79,HB,10,2013
Roy Lewis,Seahawks,66,DB,11,2013
Roy Miller,Jaguars,75,DL,5,2016
Roy Miller,Jaguars,73,DL,3,2015
Roy Miller,Jaguars,75,DL,4,2014
Roy Miller,Buccaneers,69,DL,7,2013
Roy Miller III,Jaguars,78,DL,3,2017
Roy Robertson-Harris,Bears,61,DL,3,2017
Roy Robertson-Harris,Bears,60,LB,NA,2018
Rudy Carpenter,Cowboys,60,QB,8,2013
Rudy Ford,Cardinals,67,DB,NA,2018
Rueben Randle,Eagles,78,WR,7,2017
Rueben Randle,Giants,82,WR,6,2016
Rueben Randle,Giants,81,WR,6,2015
Rueben Randle,Giants,76,WR,7,2014
Rueben Randle,Giants,69,WR,9,2013
Rueben Randle,Bears,71,WR,NA,2018
Rufus Johnson,Patriots,65,LB,14,2017
Rufus Johnson,Patriots,66,LB,12,2016
Russell Allen,Jaguars,81,LB,4,2014
Russell Allen,Jaguars,75,LB,2,2013
Russell Bodine,Bengals,69,OL,6.5,2017
Russell Bodine,Bengals,75,OL,12,2016
Russell Bodine,Bengals,70,OL,10.5,2015
Russell Bodine,Bengals,78,OL,NA,2018
Russell Okung,Broncos,82,OL,9,2017
Russell Okung,Seahawks,85,OL,10,2016
Russell Okung,Seahawks,85,OL,12,2015
Russell Okung,Seahawks,88,OL,13,2014
Russell Okung,Seahawks,80,OL,11,2013
Russell Okung,Chargers,73,OL,NA,2018
Russell Shepard,Buccaneers,65,WR,9,2017
Russell Shepard,Buccaneers,67,WR,6,2016
Russell Shepard,Buccaneers,68,WR,2,2015
Russell Shepard,Panthers,71,WR,NA,2018
Russell Wilson,Seahawks,91,QB,10.5,2017
Russell Wilson,Seahawks,89,QB,10,2016
Russell Wilson,Seahawks,91,QB,12,2015
Russell Wilson,Seahawks,89,QB,13,2014
Russell Wilson,Seahawks,70,QB,11,2013
Russell Wilson,Seahawks,90,QB,NA,2018
Rusty Smith,Titans,65,QB,7,2014
Rusty Smith,Titans,61,QB,6,2013
Ruvell Martin,Bills,69,WR,6,2013
Ryan Allen,Patriots,78,FALSE,14,2017
Ryan Allen,Patriots,72,FALSE,12,2016
Ryan Allen,Patriots,68,FALSE,12,2015
